"범죄별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
"범죄별(1)",합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토,합계,일,월,화,수,목,금,토
"합계",882722,119801,121647,124669,124773,124150,133273,134409,791151,104125,110891,111195,112283,112934,119794,119929,762858,105366,103169,105538,106898,107885,115752,118250,762136,105194,103342,106582,106915,107925,114665,117513,734715,100338,100246,101910,103554,106152,111145,111370
"절도",180067,23840,25288,25256,25614,25051,27397,27621,166782,21737,23478,23516,23794,24036,25275,24946,182720,23703,25267,25504,26255,26203,28219,27569,189942,24636,26271,27253,26893,27039,29154,28696,184155,23809,25879,25626,26197,26774,28093,27777
"장물",616,78,82,87,104,97,89,79,302,32,39,46,48,52,45,40,256,37,46,33,29,36,46,29,316,53,47,40,61,42,44,29,405,30,56,74,57,52,78,58
"손괴",58504,8621,7889,7931,7996,7949,8768,9350,54397,7669,7596,7414,7393,7557,8134,8634,56832,8274,7752,7643,7710,7706,8563,9184,54078,7799,7367,7271,7395,7401,8173,8672,47992,6934,6474,6461,6645,6680,7252,7546
"살인",805,121,139,120,108,97,110,110,692,95,108,97,92,88,118,94,738,102,108,129,106,102,99,92,801,117,125,98,101,114,127,119,806,105,138,125,119,105,99,115
"강도",692,80,119,100,110,111,92,80,511,89,54,72,72,69,88,67,532,82,83,96,65,62,73,71,599,91,72,82,99,95,98,62,474,69,63,71,62,60,89,60
"방화",1210,199,179,162,159,189,173,149,1025,162,170,155,124,139,133,142,1224,183,158,178,138,196,189,182,1189,181,174,162,177,162,154,179,1011,166,129,142,142,137,133,162
"성폭력",30105,4302,4229,3923,4276,4135,4528,4712,32898,4509,4928,4424,4694,4663,4769,4911,41433,5795,5800,5705,5928,5850,6092,6263,38698,5548,5655,5350,5395,5388,5670,5692,36180,5023,5067,5118,5161,5142,5437,5232
"폭행",143600,23100,17978,19105,19524,19219,20681,23993,119515,18103,15848,16147,16177,15898,17416,19926,129278,20328,16753,17055,17425,17457,18506,21754,123153,19477,16081,16512,16491,16360,17549,20683,118779,18738,15562,15674,16069,16154,17020,19562
"상해",36022,5486,4864,5038,4915,4921,5158,5640,30862,4382,4370,4221,4290,4232,4502,4865,29254,4563,3975,4025,3875,3877,4249,4690,24800,3816,3314,3365,3410,3409,3540,3946,21230,3224,2921,2975,2800,2913,3093,3304
"협박",21814,3028,3163,3116,3173,3065,3175,3094,21502,2954,3086,3130,3002,3087,3181,3062,21963,3060,3144,3177,3068,3123,3241,3150,23346,3202,3356,3358,3320,3327,3519,3264,24558,3233,3549,3588,3611,3531,3675,3371
"공갈",5993,607,1035,1011,926,887,859,668,5587,602,978,913,855,847,780,612,7383,726,1275,1251,1157,1090,1064,820,8167,754,1376,1272,1389,1339,1225,812,6799,691,1093,1090,1096,1095,1048,686
"약취와유인",223,23,32,35,43,35,35,20,251,25,40,30,39,41,34,42,284,32,46,34,49,41,52,30,349,49,58,52,48,53,50,39,311,30,40,44,51,46,63,37
"체포와감금",1467,199,199,201,203,231,219,215,1401,186,226,223,200,218,191,157,1375,192,229,200,202,202,175,175,1247,168,213,166,180,208,154,158,1155,164,176,155,193,163,140,164
"폭력행위등(손괴·강요·주거침입등)",982,146,127,150,148,141,148,122,1209,149,190,160,177,167,179,187,1209,168,171,178,161,170,183,178,1427,191,223,209,215,193,202,194,1221,162,173,207,185,170,175,149
"폭력행위등(단체등의구성·활동)",140,16,19,17,39,18,11,20,133,13,15,21,30,16,19,19,124,14,17,16,8,21,17,31,132,14,22,21,19,20,17,19,148,15,34,19,19,21,21,19
"도박과복표",8068,1108,1051,1457,1156,1058,1299,939,6321,632,886,728,944,1121,1278,732,4407,521,594,483,496,638,669,1006,5892,796,711,846,835,832,794,1078,8943,905,1609,1167,1743,1439,1165,915
"과실치사상",2883,398,371,425,375,409,453,452,2557,322,352,335,375,386,392,395,2682,365,372,337,390,377,431,410,2946,383,413,443,398,453,395,461,3078,372,412,474,423,435,463,499
"업무상과실치사상",3604,306,600,584,551,527,547,489,3339,256,531,530,552,546,508,416,3616,274,631,599,514,584,576,438,4161,314,699,686,674,665,638,485,4334,329,703,736,690,716,652,508
"실화",2386,369,332,354,342,309,341,339,2283,339,321,299,342,343,303,336,2603,368,349,378,349,353,355,451,2696,420,416,359,359,346,401,395,2162,328,281,280,322,296,307,348
"주거침입",18342,2577,2613,2515,2665,2689,2623,2660,18535,2537,2686,2717,2603,2601,2717,2674,18949,2487,2691,2755,2773,2758,2814,2671,20090,2730,2804,2881,2959,2891,2960,2865,18993,2539,2792,2724,2777,2768,2823,2570
"유기",235,16,51,35,32,35,40,26,273,16,70,45,39,33,46,24,332,19,58,61,62,55,63,14,278,16,42,45,55,48,52,20,249,19,49,43,34,47,40,17
"가정폭력범죄의처벌등에관한특례법",402,45,61,63,57,58,60,58,1088,139,161,174,147,158,161,148,1313,184,187,199,176,201,187,179,1437,208,185,204,233,207,201,199,1599,226,221,232,232,230,236,222
"경범죄처벌법",7702,1186,1024,1075,1084,1060,1115,1158,7100,966,1022,991,1048,1021,1003,1049,8398,1185,1169,1185,1160,1198,1161,1340,10098,1506,1315,1391,1483,1393,1427,1583,10375,1542,1466,1405,1415,1444,1446,1657
"교통사고처리특례법",184990,19437,28153,28070,27093,27307,29277,25653,155625,16255,22997,23012,23551,23201,24662,21947,76210,8772,10741,10911,11245,11209,12471,10861,71186,7810,10142,10389,10493,10429,11675,10248,68155,7568,9703,9932,9866,10030,11166,9890
"도로교통법",13383,1795,1865,1837,1899,1921,2043,2023,12071,1684,1721,1723,1650,1663,1799,1831,12529,1607,1786,1840,1789,1809,1894,1804,11203,1533,1646,1603,1576,1581,1715,1549,11007,1326,1583,1517,1588,1625,1763,1605
"도로교통법(무면허운전)",21368,2832,3193,3160,3008,3110,3233,2832,18482,2536,2811,2687,2676,2626,2684,2462,18636,2368,2719,2794,2686,2752,2775,2542,20377,2692,3030,2987,2941,2893,3030,2804,25638,3243,3865,3705,3702,3856,3974,3293
"도로교통법(사고후미조치)",11717,1405,1702,1662,1692,1702,1793,1761,8982,1044,1302,1317,1269,1318,1408,1324,7937,1017,1126,1115,1135,1114,1247,1183,7441,999,1003,1099,1020,1035,1156,1129,7034,859,951,1029,1023,1039,1065,1068
"도로교통법(음주운전)",95569,14923,10686,12629,12902,13292,14642,16495,91055,13374,10807,12074,12311,12808,14151,15530,100321,15271,11262,13081,13600,14090,15855,17162,101662,15774,11473,13347,13402,14540,15606,17520,97361,15161,10752,12433,12929,14430,15002,16654
"도로교통법(음주측정거부)",2926,450,338,407,401,433,428,469,3243,475,388,449,462,417,490,562,3923,671,479,478,502,562,519,712,3491,572,392,434,469,511,513,600,3108,540,351,388,400,389,494,546
"마약류관리에관한법률(대마)",1790,218,288,290,264,253,268,209,1682,188,282,246,236,284,258,188,1984,254,305,293,295,302,281,254,2178,261,334,343,331,322,331,256,1741,183,249,235,300,251,280,243
"마약류관리에관한법률(마약)",1899,128,399,303,391,319,274,85,1338,78,312,252,200,221,189,86,2086,139,394,377,310,372,358,136,3764,262,659,599,689,661,602,292,1971,194,309,349,292,348,320,159
"마약류관리에관한법률(향정)",6916,797,1087,1065,1073,1027,1044,823,6039,715,1034,927,893,870,880,720,7752,919,1230,1200,1168,1128,1188,919,11169,1322,1643,1610,1715,1642,1509,1728,9484,1084,1492,1402,1421,1453,1462,1170
"성매매알선등행위의처벌에관한법률",3511,239,641,681,521,669,485,275,3221,488,543,561,429,557,382,261,3750,337,588,651,569,723,512,370,3343,219,580,624,530,771,381,238,3188,205,493,791,468,621,391,219
"아동·청소년의성보호에관한법률(성매수등)",286,38,51,40,33,45,47,32,338,35,53,43,44,57,55,51,326,41,65,55,47,35,33,50,485,77,80,59,61,82,61,65,668,89,113,109,73,98,89,97
"아동·청소년의성보호에관한법률(성착취물등)",2684,436,424,434,505,346,316,223,1672,316,250,228,237,282,209,150,1669,187,324,288,236,245,199,190,1712,226,294,286,290,236,176,204,2394,270,409,430,313,411,304,257
"특가법(도주차량)",9821,1252,1375,1331,1391,1435,1502,1535,8840,1023,1236,1288,1288,1311,1355,1339,8830,1121,1275,1234,1220,1244,1396,1340,8283,978,1127,1136,1209,1237,1366,1230,8009,963,1089,1160,1136,1183,1287,1191
